ID	REF	1d3W	1d4Q	1d4W	24d1Q	24d1W	24d3Q	24d3W	28d1bQ	28d1bW	3d4Q	3d4W	3d6Q	4d2Q	5d1W
ERCC-00002	15000	2108.55	18402.77	9236.41	4376.73	4915.19	77.98	2666.15	1380.95	3553.96	10109.64	3122.71	2805.24	2674.36	4001.86
ERCC-00003	937.5	83.09	1189.43	338.21	235.11	206.2	6.76	93.79	102.68	121.81	986.67	149.2	53.25	155.36	183.33
ERCC-00004	7500	1571.17	35467.57	7713.37	5562.75	4184.37	70.48	1981.73	1344.23	2754.5	18926.48	2290.55	2191.59	3262.53	2916.69
ERCC-00009	937.5	51.2	478.23	230.64	163.87	166.51	2.35	53.02	107.32	51.02	417.8	101.55	68.37	112.33	89.49
ERCC-00012	0.11444092	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00013	0.91552734	0	0	0	0	0	0	0	0	0	6.47	0	0	0	0
ERCC-00014	3.66210938	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00016	0.22888184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00017	0.11444092	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00019	29.296875	0	0	5.61	0	0	0	19.64	0	21.34	0	0	0	0	0
ERCC-00022	234.375	26.43	339	141.58	89.8	147.11	3.15	66.1	9.17	35.37	224.25	36.58	57.12	76.28	49.18
ERCC-00024	0.22888184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00025	58.59375	0	11.59	9.85	22.56	4.52	0	1.92	3.09	0	12.39	3.18	2.04	0	0
ERCC-00028	3.66210938	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00031	1.83105469	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00033	1.83105469	0	0	0	0	0	0	0	0	0	2.44	0	0	0	0
ERCC-00034	7.32421875	0	0	0	0	0	0	0	0	0	5.03	0	0	0	0
ERCC-00035	117.1875	10.18	89.56	6.11	0	25.15	0	10.52	5.74	10.84	63.03	0	7.37	16.06	10.52
ERCC-00039	3.66210938	0	0	0	0	0	0	0	8.79	0	0	0	0	0	0
ERCC-00040	0.91552734	0	0	0	0	0	0	0	9.22	0	0	9.24	0	0	0
ERCC-00041	0.22888184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00042	468.75	18.88	683.29	87.06	47.02	46.86	2.25	7.82	6.42	36.54	505.86	38.92	16.38	71.71	101.41
ERCC-00043	468.75	37.77	607.37	190.87	156.74	93.73	4.51	50.8	19.25	60.9	450.76	64.87	32.77	65.73	70.21
ERCC-00044	117.1875	0	0	20.52	13.65	16.34	0	0	0	0	21.97	0	0	5.22	3.42
ERCC-00046	3750	197.81	8265.18	1110.42	860.39	429.61	23.54	290.85	154.37	386.54	4818.13	303.44	340.51	605.04	417.57
ERCC-00048	0.01430512	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00051	58.59375	0	144.6	0	0	0	0	0	0	0	66.38	0	0	0	0
ERCC-00053	29.296875	3.78	50.61	0	0	9.37	4.51	0	0	12.18	15.03	0	0	0	11.7
ERCC-00054	14.6484375	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00057	0.01430512	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00058	1.83105469	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49
ERCC-00059	14.6484375	0	60.31	35.36	0	0	0	0	0	27.42	0	0	8.46	0	0
ERCC-00060	234.375	78.95	877.22	319.69	206.03	163.29	14.1	91.21	70.01	192.82	418.59	137.63	84.95	154.13	122.55
ERCC-00061	0.05722046	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00062	58.59375	3.78	0	3.35	0	9.37	0	0	0	0	60.1	0	0	11.95	11.7
ERCC-00067	3.66210938	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00069	1.83105469	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00071	58.59375	0	46.26	5.63	0	0	0	0	0	0	33.31	0	0	0	0
ERCC-00073	0.91552734	0	0	0	0	0	0	0	0	0	8.93	0	0	0	0
ERCC-00074	15000	3193.91	70071.3	15205.95	11460.43	8080.77	273.11	4404.02	2443.33	4390	34422.97	4137.87	4715.96	6346.57	5593.02
ERCC-00075	0.01430512	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00076	234.375	0	185.04	45.03	53.96	0	0	6.57	0	21.42	124.93	0	13.55	20.28	0
ERCC-00077	3.66210938	0	0	0	0	44.7	0	0	0	0	0	0	0	0	0
ERCC-00078	29.296875	3.9	105.07	3.46	0	0	0	0	0	0	15.51	0	0	6.18	4.03
ERCC-00079	58.59375	6.26	138.22	16.83	0	15.99	0	0	0	0	33.2	10.87	6.75	10.1	12.95
ERCC-00081	0.22888184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00083	0.02861023	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00084	29.296875	0	0	3.46	0	0	0	0	0	0	10.33	0	0	6.17	0
ERCC-00085	7.32421875	0	0	0	0	0	0	0	0	0	0	0	0	0	4.81
ERCC-00086	0.11444092	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00092	234.375	27.31	180.28	226.64	183.12	59.02	8.15	31.74	17.31	54.55	113.2	40.97	74.12	37.69	56.41
ERCC-00095	117.1875	23.79	852.99	121.27	172.47	82.02	0	33.31	28.13	55.35	336.32	13.82	17.06	116.12	65.64
ERCC-00096	15000	721.78	4293.02	2507.92	2354.31	1192.18	82.8	559.32	487.21	1086.85	3236.74	767.73	998.1	913.62	1060.68
ERCC-00097	0.45776367	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00098	0.05722046	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00099	14.6484375	0	18.1	2.48	22.97	6.89	0	2.89	0	0	26.09	0	3.06	0	0
ERCC-00104	0.22888184	0	0	0	0	0	0	0	0	0	0	0	0	2.86	0
ERCC-00108	937.5	68.05	707.94	254.78	109.84	187.66	0	43.03	32.12	121.95	416.14	64.94	77.9	101.69	136.66
ERCC-00109	0.91552734	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00111	468.75	7.79	157.4	24.19	0	38.73	0	12.1	6.63	12.6	206.64	20.09	8.45	12.34	8.05
ERCC-00112	117.1875	3.38	88.98	29.87	0	8.33	0	10.46	0	10.78	76.11	5.79	7.33	21.28	13.94
ERCC-00113	3750	135.63	2201.63	366.45	236.3	187.93	11.15	145.81	201.3	200.63	1409.61	153.31	197.33	305.89	236.77
ERCC-00116	468.75	14.97	11.61	55.9	45.2	27.17	1.12	17.26	12.37	11.51	37.24	19.1	18.36	11.64	17.38
ERCC-00117	0.05722046	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00120	0.91552734	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00123	0.22888184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00126	14.6484375	3.43	0	0	0	0	0	0	0	0	0	11.78	0	0	3.55
ERCC-00130	30000	1153.48	18666.47	5022.24	3857.53	2469.89	88.99	1542.54	968.81	1788.21	10809.82	1667.7	1425.17	1995.43	2424
ERCC-00131	117.1875	5.14	109.1	100.81	130.62	51.89	0	37.44	44.48	51.39	61.28	17.76	22.2	41.13	21.23
ERCC-00134	1.83105469	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00136	1875	93.44	1325.14	357.82	279.01	185.4	11.15	58.07	50.78	132.46	1043	115.53	170.25	135.96	138.96
ERCC-00137	0.91552734	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00138	0.11444092	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00142	0.22888184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00143	3.66210938	0	0	0	0	0	0	0	0	0	13.37	0	0	0	5.21
ERCC-00144	29.296875	7.65	0	41.26	0	0	0	0	0	0	50.69	0	0	0	0
ERCC-00145	937.5	44.43	371.02	203.47	107.44	128.52	0	42.13	18.85	47.68	304.46	25.43	60.23	58.54	65.01
ERCC-00147	0.91552734	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00148	14.6484375	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00150	3.66210938	0	0	0	0	0	0	0	0	0	7.09	0	0	0	0
ERCC-00154	7.32421875	0	0	6.89	0	0	0	0	0	0	10.16	0	0	0	0
ERCC-00156	0.45776367	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00157	7.32421875	0	0	3.36	0	0	0	0	0	12.24	10.06	6.52	8.23	0	0
ERCC-00158	0.45776367	0	0	0	0	0	0	0	0	0	4.99	0	0	0	0
ERCC-00160	7.32421875	0	0	0	0	0	0	0	0	0	0	9.26	5.78	0	0
ERCC-00162	58.59375	0	0	0	0	0	0	0	0	0	10.46	0	0	0	8.17
ERCC-00163	14.6484375	0	0	20.42	0	0	0	0	0	0	0	0	0	0	0
ERCC-00164	0.45776367	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00165	58.59375	4.49	0	7.99	0	0	0	9.32	0	14.75	23.81	0	4.86	0	0
ERCC-00168	0.45776367	0	0	0	0	0	0	0	0	0	10.01	0	0	0	0
ERCC-00170	14.6484375	0	0	6.7	0	18.75	0	0	0	0	15.03	0	0	0	7.8
ERCC-00171	3750	172.45	4508.24	820.59	608.42	659.45	0	327.96	145.91	201.31	2829.3	200.54	282.62	321.06	297.46
