gene_id,class,Rest,Rclass,tau,theta,gamma
LOC105447777,neut,0.734691515,neut,14.15154762,0.002482535,-0.125126207
LOC105447778,neut,0.301431465,neut,0.335201589,0.001577024,0.418937716
LOC105447779,neut,-1.577830308,neg,-0.589009714,0.002165932,1.238005669
LOC105447781,neut,0.877864591,pos,2.305938501,0.00383564,0.061765118
LOC105447784,neut,1.881017376,pos,0.268258715,0.002273975,0.015026923
LOC105447785,neut,0.55079596,pos,2.294130141,0.006939058,-0.146981587
LOC105447786,neut,-1.147965895,neut,-0.551332969,0.000935855,1.061521165
LOC105447787,neut,1.203461224,pos,1.327393772,0.0017589,-0.016564337
LOC105447788,neut,1.379994922,pos,0.333863026,0.001301756,1.307198806
LOC105447789,neut,0.019904507,neut,0.600409205,0.002720392,0.122248509
LOC105447790,neut,0.656435988,pos,1.045607249,0.004229685,-0.104483754
LOC105447791,neut,0.431586772,neut,23.6648891,0.002234695,-0.380509071
LOC105447792,neut,-0.135713423,neut,0.141508476,0.004286518,0.185335765
LOC105447793,neut,1.368001867,pos,1.662315633,0.002351217,0.032430241
LOC105447794,neut,1.153056887,pos,-0.3528298,0.003030775,0.655313442
LOC105447795,neut,-0.241385343,neut,-0.515077412,0.002549364,1.436026248
LOC105447796,neut,-0.569989672,neut,-0.180059274,0.00129462,0.347389291
LOC105447797,neut,1.032224927,pos,1.011891723,0.002977134,-0.229979324
LOC105447799,neut,1.324400105,pos,0.186236964,0.003813775,0.437865948
LOC105447800,neut,0.291207545,pos,0.41044191,0.009303772,-0.347812899
LOC105447801,neut,-0.333125875,neut,-0.587730723,0.0012934,0.398074384
LOC105447802,neut,1.109450387,pos,0.891674655,0.006103847,0.192416059
LOC105447803,neut,1.051415909,pos,0.893339426,0.002010302,0.332804307
LOC105447804,neut,1.616061221,pos,1.780195935,0.001488643,-0.059318933
LOC105447805,neut,0.738405426,neut,-0.380918368,0.001445152,0.447300644
LOC105447806,neut,0.413069254,neut,-0.351232931,0.005502532,-0.018446709
LOC105447807,neut,1.2520107,pos,-0.635453753,0.003607502,-0.155471863
LOC105447808,neut,1.832741119,pos,-0.153862168,0.003958873,0.889255606
LOC105447810,neut,0.791947516,neut,-0.750505965,0.003479481,-0.020143897
LOC105447811,neut,1.055098001,pos,6.520343487,0.002393654,-0.407921092
LOC105447812,neut,0.547831047,neut,0.268879482,0.002933896,0.905416342
LOC105447813,neut,1.306491411,pos,-0.494535168,0.001292639,-0.145974574
LOC105447814,neut,1.571124623,pos,2.199772021,0.002317649,0.700776306
LOC105447815,neut,-0.349383848,neut,1.899936081,0.003033732,0.473570838
LOC105447816,neut,1.686217391,pos,2.508063257,0.004335292,0.224156709
LOC105447817,neut,0.191853788,neut,-0.688617414,0.001273771,0.547619741
LOC105447818,neut,0.48135776,neut,4.09250614,0.001274526,0.666115996
LOC105447819,neut,-1.233092058,neg,-0.463884403,0.002479096,1.189096815
LOC105447821,neut,0.915307642,pos,2.4601137,0.00222266,0.530055871
LOC105447822,neut,1.241128557,pos,12.85420272,0.00220249,0.786116499
LOC105447823,neut,1.883620877,pos,0.03314857,0.002367005,1.142788159
